t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
20,1,MS,4,hiddenzone,2.63982696,8,5.1554369,0.27615478,1,day,790745.9089
20,1,MS,5,hiddenzone,0.09991565,8,0.21739044,0.01045243,1,day,0
21,1,MS,3,hiddenzone,5.29647792,8,8.32670833,0.5633017,1,day,1605462.831
21,1,MS,4,hiddenzone,2.61099205,8,5.16206479,0.27765653,1,day,792462.8306
21,1,MS,5,hiddenzone,0.09911699,8,0.21762254,0.01054039,1,day,0
22,1,MS,3,hiddenzone,5.23037522,8,8.34211071,0.56567422,1,day,1607237.546
22,1,MS,4,hiddenzone,2.58131479,8,5.16871889,0.27914046,1,day,794237.5458
22,1,MS,5,hiddenzone,0.09829711,8,0.217857,0.01062989,1,day,0
23,1,MS,3,hiddenzone,5.16329402,8,8.35753776,0.56795636,1,night,1609078.065
23,1,MS,4,hiddenzone,2.55118067,8,5.17539922,0.28059335,1,night,796078.0652
23,1,MS,5,hiddenzone,0.0974721,8,0.21809391,0.01072069,1,night,0
24,1,MS,3,hiddenzone,5.12863743,8,8.37299626,0.57133079,2,night,1610973.803
24,1,MS,4,hiddenzone,2.53671586,8,5.18210939,0.28259534,2,night,797973.8032
24,1,MS,5,hiddenzone,0.09725847,8,0.21833348,0.01083494,2,night,1895.737925
25,1,MS,3,hiddenzone,5.1045713,8,8.38848528,0.57414324,2,night,1612911.599
25,1,MS,4,hiddenzone,2.52790344,8,5.18884946,0.2843334,2,night,799911.5987
25,1,MS,5,hiddenzone,0.09727493,8,0.21857582,0.01094143,2,night,3833.533423
26,1,MS,3,hiddenzone,5.08560579,8,8.40400427,0.57690103,2,night,1614894.599
26,1,MS,4,hiddenzone,2.52165779,8,5.19561945,0.28605501,2,night,801894.5989
26,1,MS,5,hiddenzone,0.09740582,8,0.21882101,0.01104978,2,night,5816.533659
27,1,MS,3,hiddenzone,5.06936542,8,8.4195536,0.57955518,2,night,1616937.395
27,1,MS,4,hiddenzone,2.51682115,8,5.20242002,0.28773881,2,night,803937.3953
27,1,MS,5,hiddenzone,0.09761082,8,0.21906919,0.01115962,2,night,7859.330035
28,1,MS,3,hiddenzone,5.03736943,8,8.43513036,0.58196646,2,night,1619027.399
28,1,MS,4,hiddenzone,2.50436526,8,5.20925002,0.28931458,2,night,806027.3991
28,1,MS,5,hiddenzone,0.09753715,8,0.21932039,0.01126804,2,night,9949.33389
29,1,MS,3,hiddenzone,5.00116852,8,8.45073359,0.58422117,2,night,1621151.736
29,1,MS,4,hiddenzone,2.48964797,8,5.21610928,0.29081937,2,night,808151.7357
29,1,MS,5,hiddenzone,0.09738878,8,0.21957473,0.01137627,2,night,12073.67046
30,1,MS,3,hiddenzone,4.96221477,8,8.46636196,0.58637466,2,night,1623297.53
30,1,MS,4,hiddenzone,2.47354069,8,5.22299725,0.29227943,2,night,810297.5302
30,1,MS,5,hiddenzone,0.09719633,8,0.21983225,0.01148509,2,night,14219.46497
31,1,MS,3,hiddenzone,4.92161123,8,8.48201461,0.58842775,2,day,1625463.352
31,1,MS,4,hiddenzone,2.45658036,8,5.22991369,0.2936952,2,day,812463.3521
31,1,MS,5,hiddenzone,0.09698008,8,0.22009302,0.01159454,2,day,16385.2869
32,1,MS,3,hiddenzone,4.86098345,8,8.49768804,0.59015075,2,day,1627619.16
32,1,MS,4,hiddenzone,2.42973927,8,5.23685668,0.29494872,2,day,814619.1604
32,1,MS,5,hiddenzone,0.09637505,8,0.22035704,0.01169921,2,day,18541.09512
33,1,MS,3,hiddenzone,4.79491727,8,8.5133812,0.59168693,2,day,1629790.704
33,1,MS,4,hiddenzone,2.39990685,8,5.24382591,0.29611001,2,day,816790.7044
33,1,MS,5,hiddenzone,0.09565553,8,0.22062436,0.0118025,2,day,20712.63917
34,1,MS,3,hiddenzone,4.72683242,8,8.52909185,0.59308729,2,day,1631942.221
34,1,MS,4,hiddenzone,2.36893777,8,5.25082006,0.29720151,2,day,818942.221
34,1,MS,5,hiddenzone,0.09488599,8,0.22089498,0.01190432,2,day,22864.1558
35,1,MS,3,hiddenzone,4.65768023,8,8.54481861,0.59438932,2,day,1634049.391
35,1,MS,4,hiddenzone,2.33727765,8,5.25783814,0.29823644,2,day,821049.3912
35,1,MS,5,hiddenzone,0.09407781,8,0.22116889,0.01200446,2,day,24971.32601
36,1,MS,3,hiddenzone,4.57792125,8,8.56055861,0.59538922,2,day,1636175.158
36,1,MS,4,hiddenzone,2.30022134,8,5.26487876,0.29912397,2,day,823175.1583
36,1,MS,5,hiddenzone,0.09305361,8,0.22144609,0.01210096,2,day,27097.09311
37,1,MS,3,hiddenzone,4.50707346,8,8.57631351,0.5965224,2,day,1638329.536
37,1,MS,4,hiddenzone,2.26757677,8,5.27194307,0.30008419,2,day,825329.536
37,1,MS,5,hiddenzone,0.09221082,8,0.22172675,0.01220304,2,day,29251.4708
38,1,MS,3,hiddenzone,4.43797169,8,8.59208262,0.5976044,2,day,1640465.317
38,1,MS,4,hiddenzone,2.23568771,8,5.27903054,0.3010159,2,day,827465.3168
38,1,MS,5,hiddenzone,0.09139181,8,0.22201089,0.01230525,2,day,31387.2516
39,1,MS,3,hiddenzone,4.36855718,8,8.60786423,0.59860533,2,day,1642513.835
39,1,MS,4,hiddenzone,2.2034329,8,5.28613967,0.30189116,2,day,829513.8353
39,1,MS,5,hiddenzone,0.09053486,8,0.2222984,0.01240427,2,day,33435.7701
40,1,MS,3,hiddenzone,4.29917093,8,8.62365751,0.59954095,2,day,1644520.868
40,1,MS,4,hiddenzone,2.17104385,8,5.29326974,0.30272745,2,day,831520.8685
40,1,MS,5,hiddenzone,0.08965897,8,0.22258926,0.01250206,2,day,35442.80323
41,1,MS,3,hiddenzone,4.22994584,8,8.63946175,0.60040869,2,day,1646533.624
41,1,MS,4,hiddenzone,2.13865778,8,5.30042042,0.30352998,2,day,833533.6237
41,1,MS,5,hiddenzone,0.08878015,8,0.22288354,0.0126003,2,day,37455.55848
42,1,MS,3,hiddenzone,4.16184608,8,8.655276,0.60116031,2,day,1648535.221
42,1,MS,4,hiddenzone,2.10673379,8,5.30759114,0.30427273,2,day,835535.2208
42,1,MS,5,hiddenzone,0.08791327,8,0.22318124,0.01269733,2,day,39457.1556
43,1,MS,3,hiddenzone,4.0945919,8,8.67109927,0.60186285,2,day,1650517.363
43,1,MS,4,hiddenzone,2.07513235,8,5.31478125,0.30498666,2,day,837517.3628
43,1,MS,5,hiddenzone,0.08705047,8,0.22348239,0.01279413,2,day,41439.29752
44,1,MS,3,hiddenzone,4.02906417,8,8.6869304,0.60247268,2,day,1652441.997
44,1,MS,4,hiddenzone,2.04424893,8,5.32198977,0.30564406,2,day,839441.9974
44,1,MS,5,hiddenzone,0.08619939,8,0.22378691,0.01288816,2,day,43363.93215
45,1,MS,3,hiddenzone,3.96511698,8,8.70276804,0.60301523,2,day,1654267.639
45,1,MS,4,hiddenzone,2.01397228,8,5.32921526,0.30624958,2,day,841267.6394
45,1,MS,5,hiddenzone,0.08534555,8,0.22409467,0.01297798,2,day,45189.57412
46,1,MS,3,hiddenzone,3.90083943,8,8.71861055,0.60351054,2,day,1656055.801
46,1,MS,4,hiddenzone,1.98341459,8,5.3364567,0.30682383,2,day,843055.8015
46,1,MS,5,hiddenzone,0.0844655,8,0.22440563,0.0130665,2,day,46977.73621
47,1,MS,3,hiddenzone,3.83565581,8,8.73445872,0.60392581,2,night,1657901.757
47,1,MS,4,hiddenzone,1.95238585,8,5.34371477,0.30736817,2,night,844901.7569
47,1,MS,5,hiddenzone,0.08357294,8,0.22471994,0.01315719,2,night,48823.6917
48,1,MS,3,hiddenzone,4.30032783,8,8.75035791,0.61337794,3,night,1659834.689
48,1,MS,4,hiddenzone,2.18567688,8,5.35101238,0.31246331,3,night,846834.6886
48,1,MS,5,hiddenzone,0.09407853,8,0.22503877,0.01344853,3,night,50756.6234
49,1,MS,3,hiddenzone,4.97642448,8,8.76635239,0.62390232,3,night,1661858.888
49,1,MS,4,hiddenzone,2.5333812,8,5.35837392,0.31821102,3,night,848858.8881
49,1,MS,5,hiddenzone,0.10967818,8,0.22536338,0.01377533,3,night,52780.82289
50,1,MS,3,hiddenzone,5.778572,8,8.78245036,0.6352295,3,night,1663917.42
50,1,MS,4,hiddenzone,2.94614281,8,5.36580373,0.32438359,3,night,850917.4203
50,1,MS,5,hiddenzone,0.12830922,8,0.22569412,0.0141264,3,night,54839.35509
51,1,MS,3,hiddenzone,6.63557046,8,8.79865594,0.64676009,3,night,1665958.786
51,1,MS,4,hiddenzone,3.38779509,8,5.3733039,0.3306683,3,night,852958.7862
51,1,MS,5,hiddenzone,0.14842726,8,0.22603113,0.0144864,3,night,56880.72094
52,1,MS,3,hiddenzone,6.90551372,8,8.81492897,0.65145298,3,night,1667972.4
52,1,MS,4,hiddenzone,3.53537881,8,5.38085427,0.33352281,3,night,854972.3997
52,1,MS,5,hiddenzone,0.1558098,8,0.22637357,0.01469876,3,night,58894.33451
53,1,MS,3,hiddenzone,7.01031727,8,8.83123523,0.65424292,3,night,1669899.609
53,1,MS,4,hiddenzone,3.59295542,8,5.38843614,0.3353204,3,night,856899.6093
53,1,MS,5,hiddenzone,0.15926271,8,0.22672056,0.01486353,3,night,60821.54409
54,1,MS,3,hiddenzone,7.05289481,8,8.84756103,0.6560361,3,night,1671722.39
