t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
399,1,MS,5,hiddenzone,3.96797708,8,0.87406237,0.22448754,17,day,579325.3219
400,1,MS,3,hiddenzone,0.37460612,8,0.23810035,0.02129007,17,day,2185646.081
400,1,MS,4,hiddenzone,12.02270684,8,8.70937559,0.68331259,17,day,1376628.493
400,1,MS,5,hiddenzone,3.96821676,8,0.8799778,0.22552398,17,day,580550.4275
401,1,MS,3,hiddenzone,0.37349933,8,0.23852,0.02132531,17,day,2187146.081
401,1,MS,4,hiddenzone,11.97455726,8,8.72186216,0.68372244,17,day,1377863.612
401,1,MS,5,hiddenzone,3.9677437,8,0.88591948,0.22653963,17,day,581785.5468
402,1,MS,3,hiddenzone,0.37241662,8,0.23894051,0.02136535,17,day,2188646.081
402,1,MS,4,hiddenzone,11.92669734,8,8.73435487,0.68425286,17,day,1379152.805
402,1,MS,5,hiddenzone,3.96795911,8,0.89188895,0.22763722,17,day,583074.7402
403,1,MS,3,hiddenzone,0.37127861,8,0.23936197,0.02140481,17,day,2190146.081
403,1,MS,4,hiddenzone,11.87620066,8,8.74685486,0.68470636,17,day,1380533.267
403,1,MS,5,hiddenzone,3.96833638,8,0.8978887,0.22877842,17,day,584455.2013
404,1,MS,3,hiddenzone,0.37016042,8,0.23978448,0.02145079,17,day,2191646.081
404,1,MS,4,hiddenzone,11.82550819,8,8.75936375,0.68531319,17,day,1382000.418
404,1,MS,5,hiddenzone,3.96962851,8,0.90392123,0.23003741,17,day,585922.3525
405,1,MS,3,hiddenzone,0.36896137,8,0.24020815,0.02149596,17,day,2193146.081
405,1,MS,4,hiddenzone,11.77117411,8,8.77188233,0.68582192,17,day,1383576.575
405,1,MS,5,hiddenzone,3.97093771,8,0.90998926,0.23134722,17,day,587498.5101
406,1,MS,3,hiddenzone,0.3677709,8,0.2406331,0.02154977,17,day,2194646.081
406,1,MS,4,hiddenzone,11.7158149,8,8.78441271,0.68652191,17,day,1385280.336
406,1,MS,5,hiddenzone,3.97336529,8,0.91609639,0.23281946,17,day,589202.271
407,1,MS,3,hiddenzone,0.36650196,8,0.24105949,0.02160423,17,night,2196146.081
407,1,MS,4,hiddenzone,11.65640133,8,8.79695641,0.68713597,17,night,1387135.733
407,1,MS,5,hiddenzone,3.97614979,8,0.92224655,0.23438013,17,night,591057.668
408,1,MS,3,hiddenzone,0.37726328,8,0.24148797,0.02183475,18,night,2197646.081
408,1,MS,4,hiddenzone,11.98222117,8,8.80953131,0.69327567,18,night,1389146.772
408,1,MS,5,hiddenzone,4.1111888,8,0.92844946,0.23794203,18,night,593068.7066
409,1,MS,3,hiddenzone,0.39423155,8,0.24191913,0.02208597,18,night,2199146.081
409,1,MS,4,hiddenzone,12.49737072,8,8.82215345,0.69992697,18,night,1391256.803
409,1,MS,5,hiddenzone,4.31616775,8,0.9347132,0.24180429,18,night,595178.7379
410,1,MS,3,hiddenzone,0.41279433,8,0.24235307,0.02234965,18,night,2200646.081
410,1,MS,4,hiddenzone,13.06138066,8,8.83482619,0.70696285,18,night,1393351.099
410,1,MS,5,hiddenzone,4.54034204,8,0.94103898,0.24582508,18,night,597273.0333
411,1,MS,3,hiddenzone,0.43175218,8,0.2427897,0.02260494,18,night,2202146.081
411,1,MS,4,hiddenzone,13.63680466,8,8.84754791,0.71376242,18,night,1395388.173
411,1,MS,5,hiddenzone,4.7703033,8,0.94742537,0.24975569,18,night,599310.1076
412,1,MS,3,hiddenzone,0.44420925,8,0.24322874,0.02280611,18,night,2203646.081
412,1,MS,4,hiddenzone,14.00358061,8,8.86031127,0.71886531,18,night,1397360.873
412,1,MS,5,hiddenzone,4.9294948,8,0.95386889,0.2530836,18,night,601282.808
413,1,MS,3,hiddenzone,0.45381042,8,0.24366984,0.02296768,18,night,2205146.081
413,1,MS,4,hiddenzone,14.28386548,8,8.87310793,0.72282163,18,night,1399240.017
413,1,MS,5,hiddenzone,5.05722329,8,0.96036461,0.25594841,18,night,603161.9518
414,1,MS,3,hiddenzone,0.46305543,8,0.24411275,0.023117,18,night,2206646.081
414,1,MS,4,hiddenzone,14.55409579,8,8.8859332,0.72648459,18,night,1401006.721
414,1,MS,5,hiddenzone,5.18088366,8,0.96690867,0.25864252,18,night,604928.6559
415,1,MS,3,hiddenzone,0.47205151,8,0.24455735,0.02325331,18,day,2208146.081
415,1,MS,4,hiddenzone,14.81683163,8,8.89878415,0.72978565,18,day,1402722.498
415,1,MS,5,hiddenzone,5.30217956,8,0.97349913,0.26118444,18,day,606644.4332
416,1,MS,3,hiddenzone,0.47471775,8,0.24500349,0.02334346,18,day,2209646.081
416,1,MS,4,hiddenzone,14.87795339,8,8.91165628,0.73161655,18,day,1404434.556
416,1,MS,5,hiddenzone,5.35294153,8,0.98013467,0.26321918,18,day,608356.4911
417,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2211146.081
417,1,MS,4,hiddenzone,14.85901667,8,8.92454347,0.7325199,18,day,1406167.214
417,1,MS,5,hiddenzone,5.37437873,8,0.98681366,0.26493738,18,day,610089.1487
418,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2212646.081
418,1,MS,4,hiddenzone,14.82961285,8,8.93744578,0.73364056,18,day,1407923.046
418,1,MS,5,hiddenzone,5.39243464,8,0.99353677,0.26676145,18,day,611844.9808
419,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2214146.081
419,1,MS,4,hiddenzone,14.78150191,8,8.9503596,0.7340324,18,day,1409706.63
419,1,MS,5,hiddenzone,5.40408956,8,1.00030354,0.26835084,18,day,613628.5652
420,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2215646.081
420,1,MS,4,hiddenzone,14.73299026,8,8.96328564,0.73456263,18,day,1411524.834
420,1,MS,5,hiddenzone,5.41606753,8,1.00711524,0.2700255,18,day,615446.7684
421,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2217146.081
421,1,MS,4,hiddenzone,14.67817012,8,8.97622386,0.73492987,18,day,1413391.675
421,1,MS,5,hiddenzone,5.4264044,8,1.01397319,0.27168683,18,day,617313.6096
422,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2218646.081
422,1,MS,4,hiddenzone,14.62331555,8,8.98917585,0.73550764,18,day,1415336.337
422,1,MS,5,hiddenzone,5.43787386,8,1.02088002,0.27349668,18,day,619258.2717
423,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2220146.081
423,1,MS,4,hiddenzone,14.56201036,8,9.00214234,0.73593799,18,day,1417380.564
423,1,MS,5,hiddenzone,5.44842454,8,1.02783857,0.27534202,18,day,621302.4986
424,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2221646.081
424,1,MS,4,hiddenzone,14.50006781,8,9.01512567,0.73664622,18,day,1419536.372
424,1,MS,5,hiddenzone,5.46040205,8,1.03485268,0.27739222,18,day,623458.3068
425,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2223146.081
425,1,MS,4,hiddenzone,14.43009879,8,9.02812671,0.73716747,18,day,1421825.22
425,1,MS,5,hiddenzone,5.47133621,8,1.04192607,0.2794929,18,day,625747.1543
426,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2224646.081
426,1,MS,4,hiddenzone,14.3642078,8,9.04114799,0.73796108,18,day,1424244.245
426,1,MS,5,hiddenzone,5.48573889,8,1.04906317,0.28181688,18,day,628166.1799
427,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2226146.081
427,1,MS,4,hiddenzone,14.29350609,8,9.0541898,0.73857408,18,day,1426736.228
427,1,MS,5,hiddenzone,5.49928174,8,1.05626619,0.28414562,18,day,630658.1626
428,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2227646.081
428,1,MS,4,hiddenzone,14.22605985,8,9.06725359,0.73942811,18,day,1429278.279
428,1,MS,5,hiddenzone,5.51467354,8,1.06353733,0.28662272,18,day,633200.2139
429,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2229146.081
429,1,MS,4,hiddenzone,14.1540755,8,9.08033945,0.74008096,18,day,1431863.498
429,1,MS,5,hiddenzone,5.52877892,8,1.07087814,0.28907221,18,day,635785.4325
430,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,day,2230646.081
430,1,MS,4,hiddenzone,14.08434657,8,9.09344854,0.74095882,18,day,1434518.605
430,1,MS,5,hiddenzone,5.54467155,8,1.07829111,0.29168364,18,day,638440.5395
431,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,18,night,2232146.081
431,1,MS,4,hiddenzone,14.00963964,8,9.10658165,0.7416294,18,night,1437268.513
431,1,MS,5,hiddenzone,5.55989073,8,1.08577944,0.29431005,18,night,641190.4482
432,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2233646.081
432,1,MS,4,hiddenzone,14.21246707,8,9.11975482,0.74746034,19,night,1440106.657
432,1,MS,5,hiddenzone,5.68593203,8,1.09335211,0.2990806,19,night,644028.5913
433,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2235146.081
433,1,MS,4,hiddenzone,14.5342076,8,9.13297646,0.75257277,19,night,1443057.003
433,1,MS,5,hiddenzone,5.86484358,8,1.10101606,0.30372368,19,night,646978.938
434,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2236646.081
434,1,MS,4,hiddenzone,14.88422583,8,9.14624878,0.75798721,19,night,1446111.531
434,1,MS,5,hiddenzone,6.05951748,8,1.10877552,0.30863043,19,night,650033.4661
435,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2238146.081
435,1,MS,4,hiddenzone,15.2372242,8,9.15957119,0.76308267,19,night,1449193.471
435,1,MS,5,hiddenzone,6.25869302,8,1.11663169,0.3134833,19,night,653115.4055
436,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2239646.081
436,1,MS,4,hiddenzone,15.33747683,8,9.17293892,0.76623875,19,night,1452270.254
436,1,MS,5,hiddenzone,6.35714759,8,1.12458327,0.31759008,19,night,656192.1887
437,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2241146.081
437,1,MS,4,hiddenzone,15.34764389,8,9.18634193,0.76817479,19,night,1455312.858
437,1,MS,5,hiddenzone,6.41703477,8,1.13262594,0.32117959,19,night,659234.7927
438,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2242646.081
438,1,MS,4,hiddenzone,15.34660488,8,9.19977806,0.77003536,19,night,1458321.621
438,1,MS,5,hiddenzone,6.4719522,8,1.1407586,0.3247343,19,night,662243.5554
439,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2244146.081
439,1,MS,4,hiddenzone,15.33265704,8,9.21324435,0.77141463,19,day,1461293.545
439,1,MS,5,hiddenzone,6.52096006,8,1.14897952,0.32807688,19,day,665215.4802
440,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2245646.081
440,1,MS,4,hiddenzone,15.28222436,8,9.22674029,0.77258417,19,day,1464265.47
440,1,MS,5,hiddenzone,6.55471479,8,1.15728919,0.33135498,19,day,668187.4051
441,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2247146.081
441,1,MS,4,hiddenzone,15.21239784,8,9.24026292,0.77324187,19,day,1467244.063
441,1,MS,5,hiddenzone,6.57985584,8,1.16568703,0.33443657,19,day,671165.9977
442,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2248646.081
442,1,MS,4,hiddenzone,15.14412864,8,9.25381238,0.77408513,19,day,1470217.654
442,1,MS,5,hiddenzone,6.60533537,8,1.17417356,0.33761249,19,day,674139.5883
443,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2250146.081
443,1,MS,4,hiddenzone,15.06993513,8,9.26738768,0.7746494,19,day,1473181.262
443,1,MS,5,hiddenzone,6.62777709,8,1.18274874,0.34067506,19,day,677103.1972
444,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2251646.081
444,1,MS,4,hiddenzone,14.99928737,8,9.28098911,0.77545131,19,day,1476126.649
444,1,MS,5,hiddenzone,6.65116501,8,1.19141269,0.34384277,19,day,680048.5842
445,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2253146.081
445,1,MS,4,hiddenzone,14.92312938,8,9.29461579,0.77598636,19,day,1479076.996
445,1,MS,5,hiddenzone,6.67191021,8,1.20016572,0.34691424,19,day,682998.9308
446,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2254646.081
446,1,MS,4,hiddenzone,14.85395807,8,9.3082685,0.77675343,19,day,1482017.431
446,1,MS,5,hiddenzone,6.69530545,8,1.20900855,0.35009744,19,day,685939.3655
447,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2256146.081
447,1,MS,4,hiddenzone,14.78045577,8,9.32194467,0.77724813,19,day,1484850.783
447,1,MS,5,hiddenzone,6.71448838,8,1.21793751,0.35307053,19,day,688772.7181
448,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2257646.081
448,1,MS,4,hiddenzone,14.71503459,8,9.33564388,0.77796738,19,day,1487543.756
448,1,MS,5,hiddenzone,6.73442285,8,1.22694907,0.35602243,19,day,691465.6911
449,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2259146.081
449,1,MS,4,hiddenzone,14.64596252,8,9.34936373,0.77842329,19,day,1490126.038
449,1,MS,5,hiddenzone,6.75039217,8,1.23603947,0.35875911,19,day,694047.9731
450,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2260646.081
450,1,MS,4,hiddenzone,14.58169188,8,9.3631031,0.77900603,19,day,1492612.299
450,1,MS,5,hiddenzone,6.76654667,8,1.24520585,0.3614732,19,day,696534.2336
451,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2262146.081
451,1,MS,4,hiddenzone,14.5160371,8,9.37686035,0.77939493,19,day,1494996.992
451,1,MS,5,hiddenzone,6.77994236,8,1.25444505,0.36400852,19,day,698918.9266
452,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2263646.081
452,1,MS,4,hiddenzone,14.45332557,8,9.39063506,0.78002453,19,day,1497282.978
452,1,MS,5,hiddenzone,6.79266415,8,1.26375444,0.36656939,19,day,701204.913
453,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2265146.081
453,1,MS,4,hiddenzone,14.38697741,8,9.40442558,0.78044838,19,day,1499483.133
453,1,MS,5,hiddenzone,6.80186055,8,1.27313114,0.36895842,19,day,703405.0677
454,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,day,2266646.081
454,1,MS,4,hiddenzone,14.3178608,8,9.4182332,0.78118305,19,day,1501729.065
454,1,MS,5,hiddenzone,6.81033719,8,1.28257732,0.3715509,19,day,705650.9993
455,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,19,night,2268146.081
455,1,MS,4,hiddenzone,14.24240115,8,9.43205971,0.78173329,19,night,1504159.534
455,1,MS,5,hiddenzone,6.81889314,8,1.29209944,0.37425187,19,night,708081.4692
456,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2269646.081
456,1,MS,4,hiddenzone,14.79854151,8,9.44592962,0.79026462,20,night,1506780.23
456,1,MS,5,hiddenzone,7.13096358,8,1.30171508,0.38097202,20,night,710702.1649
457,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2271146.081
457,1,MS,4,hiddenzone,15.61827993,8,9.45986159,0.79880173,20,night,1509619.972
457,1,MS,5,hiddenzone,7.58361038,8,1.31144042,0.38802639,20,night,713541.9064
458,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2272646.081
458,1,MS,4,hiddenzone,16.49734946,8,9.47386034,0.80782212,20,night,1512628.734
458,1,MS,5,hiddenzone,8.0750541,8,1.32128349,0.39556744,20,night,716550.6691
459,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2274146.081
459,1,MS,4,hiddenzone,17.38644319,8,9.48792501,0.81634716,20,night,1515705.518
459,1,MS,5,hiddenzone,8.58002419,8,1.3312468,0.40301889,20,night,719627.4523
460,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2275646.081
460,1,MS,4,hiddenzone,17.7925354,8,9.50204556,0.82174277,20,night,1518689.12
460,1,MS,5,hiddenzone,8.85312432,8,1.34132372,0.40891778,20,night,722611.0545
461,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2277146.081
461,1,MS,4,hiddenzone,18.04052727,8,9.51620746,0.8253995,20,night,1521503.383
461,1,MS,5,hiddenzone,9.04327726,8,1.35150237,0.41379038,20,night,725425.3175
462,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2278646.081
462,1,MS,4,hiddenzone,18.27155068,8,9.53040498,0.82880282,20,night,1524164.516
462,1,MS,5,hiddenzone,9.22329849,8,1.36177608,0.41840778,20,night,728086.4505
463,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2280146.081
463,1,MS,4,hiddenzone,18.48813911,8,9.54463477,0.83175784,20,day,1526733.747
463,1,MS,5,hiddenzone,9.39558221,8,1.37214082,0.42272987,20,day,730655.6818
464,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2281646.081
464,1,MS,4,hiddenzone,18.5116523,8,9.55889247,0.83336824,20,day,1529238.605
464,1,MS,5,hiddenzone,9.47053622,8,1.38259318,0.42633403,20,day,733160.5393
465,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2283146.081
465,1,MS,4,hiddenzone,18.46971286,8,9.57317124,0.83408012,20,day,1531674.797
465,1,MS,5,hiddenzone,9.50908143,8,1.39312784,0.42940676,20,day,735596.7313
466,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2284646.081
466,1,MS,4,hiddenzone,18.42015679,8,9.58746877,0.8347531,20,day,1534030.879
466,1,MS,5,hiddenzone,9.5416493,8,1.40374154,0.43238408,20,day,737952.8137
467,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2286146.081
467,1,MS,4,hiddenzone,18.36078259,8,9.60178268,0.83510533,20,day,1536319.726
467,1,MS,5,hiddenzone,9.56731649,8,1.41443128,0.43513092,20,day,740241.6612
468,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2287646.081
468,1,MS,4,hiddenzone,18.30298856,8,9.61611236,0.83564724,20,day,1538515.589
468,1,MS,5,hiddenzone,9.59130865,8,1.42519423,0.43788309,20,day,742437.5242
469,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2289146.081
469,1,MS,4,hiddenzone,18.23854117,8,9.6304554,0.83595365,20,day,1540607.024
469,1,MS,5,hiddenzone,9.60903712,8,1.43602607,0.44040297,20,day,744528.9586
470,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2290646.081
470,1,MS,4,hiddenzone,18.17885963,8,9.64481192,0.836453,20,day,1542608.621
470,1,MS,5,hiddenzone,9.62683836,8,1.44692451,0.44293159,20,day,746530.5557
471,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2292146.081
471,1,MS,4,hiddenzone,18.11549242,8,9.65917976,0.83677597,20,day,1544546.13
471,1,MS,5,hiddenzone,9.64092515,8,1.45788644,0.44530081,20,day,748468.0651
472,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2293646.081
472,1,MS,4,hiddenzone,18.05669365,8,9.67355965,0.83725165,20,day,1546450.451
472,1,MS,5,hiddenzone,9.6563935,8,1.4689116,0.44772342,20,day,750372.3862
473,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2295146.081
473,1,MS,4,hiddenzone,17.99532107,8,9.68795079,0.83755284,20,day,1548317.579
473,1,MS,5,hiddenzone,9.66939019,8,1.47999867,0.45001564,20,day,752239.5136
474,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2296646.081
474,1,MS,4,hiddenzone,17.93774133,8,9.70235199,0.83799618,20,day,1550105.169
474,1,MS,5,hiddenzone,9.68227125,8,1.49114454,0.45230133,20,day,754027.1034
475,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2298146.081
475,1,MS,4,hiddenzone,17.87581624,8,9.71676196,0.83824273,20,day,1551822.09
475,1,MS,5,hiddenzone,9.69088175,8,1.50234649,0.45440576,20,day,755744.0252
476,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2299646.081
476,1,MS,4,hiddenzone,17.82107564,8,9.73118134,0.83875016,20,day,1553502.104
476,1,MS,5,hiddenzone,9.66398717,8,1.51355416,0.45481081,20,day,757424.0392
477,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2301146.081
477,1,MS,4,hiddenzone,17.76184854,8,9.74560914,0.83909916,20,day,1555145.783
477,1,MS,5,hiddenzone,9.63456624,8,1.52476689,0.45512772,20,day,759067.7178
478,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,day,2302646.081
478,1,MS,4,hiddenzone,17.70194284,8,9.76004615,0.83967032,20,day,1556834.094
478,1,MS,5,hiddenzone,9.60483852,8,1.53598512,0.45556808,20,day,760756.0289
479,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,20,night,2304146.081
479,1,MS,4,hiddenzone,17.63586608,8,9.77449497,0.84011421,20,night,1558723.252
479,1,MS,5,hiddenzone,9.57204538,8,1.5472108,0.45595544,20,night,762645.1864
480,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2305646.081
480,1,MS,4,hiddenzone,18.27826933,8,9.78897854,0.84825634,21,night,1560861.894
480,1,MS,5,hiddenzone,9.91859108,8,1.55845664,0.46049927,21,night,764783.8283
481,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2307146.081
481,1,MS,4,hiddenzone,19.17543889,8,9.80351326,0.85632846,21,night,1563227.99
481,1,MS,5,hiddenzone,10.40992081,8,1.56973233,0.46507254,21,night,767149.9244
482,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2308646.081
482,1,MS,4,hiddenzone,20.13158469,8,9.81810486,0.86486585,21,night,1565742.861
482,1,MS,5,hiddenzone,10.93373086,8,1.58104113,0.46991013,21,night,769664.7955
483,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2310146.081
483,1,MS,4,hiddenzone,21.10236411,8,9.83275094,0.87302614,21,night,1568314.953
483,1,MS,5,hiddenzone,11.46597719,8,1.59238208,0.47454939,21,night,772236.8879
484,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2311646.081
484,1,MS,4,hiddenzone,21.5307058,8,9.84744399,0.87794043,21,night,1570834.116
484,1,MS,5,hiddenzone,11.7078722,8,1.603751,0.47745028,21,night,774756.0506
485,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2313146.081
485,1,MS,4,hiddenzone,21.80115662,8,9.8621702,0.88127866,21,night,1573231.684
485,1,MS,5,hiddenzone,11.85969114,8,1.61513988,0.47945449,21,night,777153.6184
486,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,night,2314646.081
486,1,MS,4,hiddenzone,22.05539197,8,9.87692481,0.88435418,21,night,1575507.656
486,1,MS,5,hiddenzone,12.00255923,8,1.62654622,0.4813086,21,night,779429.5911
487,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2316146.081
487,1,MS,4,hiddenzone,22.29231964,8,9.89170465,0.88695143,21,day,1577702.089
487,1,MS,5,hiddenzone,12.13596126,8,1.63796786,0.48289678,21,day,781624.0236
488,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2317646.081
488,1,MS,4,hiddenzone,22.31996567,8,9.90650616,0.88836025,21,day,1579827.856
488,1,MS,5,hiddenzone,12.15697837,8,1.64940288,0.48384481,21,day,783749.7907
489,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2319146.081
489,1,MS,4,hiddenzone,22.28486975,8,9.92132298,0.88894721,21,day,1581917.86
489,1,MS,5,hiddenzone,12.14192193,8,1.66084752,0.48432943,21,day,785839.7946
490,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2320646.081
490,1,MS,4,hiddenzone,22.23915527,8,9.93615426,0.88953831,21,day,1583967.809
490,1,MS,5,hiddenzone,12.12122178,8,1.67230143,0.48481363,21,day,787889.7436
491,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2322146.081
491,1,MS,4,hiddenzone,22.1829842,8,9.95099798,0.88984259,21,day,1585976.272
491,1,MS,5,hiddenzone,12.0945996,8,1.68376332,0.48513801,21,day,789898.2073
492,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2323646.081
492,1,MS,4,hiddenzone,22.12857817,8,9.96585424,0.89031933,21,day,1587962.706
492,1,MS,5,hiddenzone,12.06885669,8,1.69523321,0.48555479,21,day,791884.6408
493,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2325146.081
493,1,MS,4,hiddenzone,22.06681604,8,9.98072232,0.89060247,21,day,1589937.123
493,1,MS,5,hiddenzone,12.03904548,8,1.70671069,0.48586454,21,day,793859.0578
494,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2326646.081
494,1,MS,4,hiddenzone,22.00741477,8,9.99560272,0.89110241,21,day,1591892.943
494,1,MS,5,hiddenzone,12.01044814,8,1.71819604,0.48629126,21,day,795814.878
495,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2328146.081
495,1,MS,4,hiddenzone,21.94178289,8,10.01049429,0.89141278,21,day,1593808.995
495,1,MS,5,hiddenzone,11.97834592,8,1.72968847,0.48661091,21,day,797730.9294
496,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2329646.081
496,1,MS,4,hiddenzone,21.88011409,8,10.02539753,0.89191676,21,day,1595723.902
496,1,MS,5,hiddenzone,11.94837094,8,1.74118828,0.4870362,21,day,799645.8365
497,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2331146.081
497,1,MS,4,hiddenzone,21.80397824,8,10.04031098,0.89202825,21,day,1597656.547
497,1,MS,5,hiddenzone,11.91050269,8,1.75269462,0.48724814,21,day,801578.482
498,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2332646.081
498,1,MS,4,hiddenzone,21.7434365,8,10.05523743,0.89263408,21,day,1599624.384
498,1,MS,5,hiddenzone,11.8811759,8,1.76420925,0.48773274,21,day,803546.3187
499,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2334146.081
499,1,MS,4,hiddenzone,21.67539082,8,10.07017625,0.89300593,21,day,1601622.548
499,1,MS,5,hiddenzone,11.84778306,8,1.7757318,0.4880914,21,day,805544.4825
500,1,MS,3,hiddenzone,0.4747872,8,0.24545102,0.02340554,21,day,2335646.081
500,1,MS,4,hiddenzone,21.61298193,8,10.08512845,0.89357392,21,day,1603642.456
